Type,Name,Desc,Price
Armagnac,"Chateau de Pellehaut ""K&L Exclusive - L'Age de Glace"" Ténarèze Armagnac (750ml)"," 
                                                        Chateau Pellehaut has been one of our top direct imports for the past year here at K&L. We've visited the Ténarèze producer twice over the past few years, always finding something new to bring home for our brandy fans. What really excited us this year, however, was a new project they were working on called L'Age de Glace: a young brandy meant to drink on the rocks (hence the name ""Ice Age""). The fruit of the Armagnac takes center stage here, melding wonderfully with the small hint of vanilla from the wood. It's all distilled from Folle Blanche fruit and ...
                                                        Read More » 
 Read More » ",$27.99 
Armagnac,Chateau de Pellehaut Reserve Tenareze Armagnac (750ml)," 
                                                        On a beautifully situated property overlooking the town of Montréal-du-Gers, lies the Château de Pellehaut. Purchased by Gaston Béraut shortly after the Second World War, he has slowly developed one of the largest single properties in the region.  Béraut's sons Mathieu and Martin take care of winemaking (the red, white and rose are all big sellers at K&L) and the élevage of Armagnac. Both are intelligent and enthusiastic about their product, and between them have studied enology in Toulouse and apprenticed at Chateau de Tariquet in Eauze, Chateau Beychev...
                                                        Read More » 
 Read More » ",$49.99 
Armagnac,"Darroze Les Grand Assemblages ""20 Year Old"" Bas-Armagnac (750ml)"," Absolutely stunning Armagnac with incredible richness, spice, and balance. I can't say it enough, so I'll say it again: every Bourbon drinker who's out there chasing things like Pappy 20 or BMH 16 should be stocking up on things like this instead. Or maybe I shouldn't say that because the people who actually drink Armagnac regularly will get pissy. In any case, this is a slam dunk spirit. Big wood, lots of spice and vanilla, and a rustic fruit character with seamless execution. My new favorite brandy for the moment. (David Driscoll, K&L Spirits Buyer) ",$99.99 
Armagnac,1993 Chateau de la Grangerie 23 Year Old K&L Exclusive Armagnac (750ml)," 
                                                        Chateau de la Grangerie is a property that was built in the 17th century right next to an old monastery. The church and the housing for its servants was actually built in the 11th and 12th centuries and since the Armagnac is aged inside that facility, it might be the only spirit at K&L matured on hallowed grounds. Like many Tenereze producers, Grangerie distills only ugni blanc for its brandies. However, the sandy and gravel-rich soils are much more like the terrain found in the Bas-Armagnac. They fill about ten barrels a year; two of which are used for ...
                                                        Read More » 
 Read More » ",$79.99 
Armagnac,1979 Marie Duffau Bas Armagnac (750ml),  ,$109.99 
Armagnac,Marie Duffau Napoleon Bas Armagnac (750ml)," 90-95 points Wine Enthusiast: ""*Best Buy, Highly Recommended* The opening nosings find smells of roasted chestnut and baked pear; later sniffings pick up succulent notes of pineapple, caramel, black raisins, prunes and old oak. The palate entry is creamy textured and semisweet; at the midpalate the flavor becomes integrated and very nutty/woody. Concludes oily, semisweet and oaky."" (12/2005) K&L Notes:  
                                                        Only estate fruit, raised organically, is used in the production of these fine Armagnacs.  Aged a minimum of six years.  Flavors of cocoa, cake batter and vanilla. Soft tannins on the finish and a t...
                                                        Read More » 
 Read More » ",$36.99 
Armagnac,Dartigalongue XO 10 Year Armagnac (750ml),"94 points Wine Enthusiast: ""From “the oldest House in Armagnac” comes a well-balanced sipper that's reminiscent of Bourbon with its deep amber color; its rich, sweet caramel note; and bold finish that tastes of maple-butter sprinkled with clove and cinnamon. (KN)"" (12/2012) K&L Notes:  The Dartigalongue 10-year-old Armagnac is one of the best values in the store.  Deep dried fruit flavors with a touch of toffee.  We will keep getting for as long as it is available! ",$44.99 
Armagnac,"Darroze Les Grand Assemblages ""12 Year Old"" Bas-Armagnac (750ml)","92 points Wine Enthusiast: ""Allow this bright amber brandy some air exposure, and the reward is a dried- fruit aroma and a vanilla flavor, with touches of cinnamon- and clove. It feels a bit drying on the palate. (KN)"" (12/2012) K&L Notes:  
                                                        Darroze has arguable done more for the Armagnac category than any other single producer. They made their name by sourcing incredible single vintage cask strength Armagnac from all of Bas-Armagnac's small grower producers. This micro-negociant has some of the best stocks of brandy anywhere in Armagnac, with high quality offerings going back nearly a century fr...
                                                        Read More » 
 Read More » ",$69.99 
Armagnac,Clos Martin VSOP 8 Year Old Bas-Armagnac (750ml),  ,$39.99 
Armagnac,Cyrano Roxane Blanche Armagnac (750ml)," 
                                                        The Roxane Blanche Armagnac is the finest Blanche we've ever come across. There reason for that is that it's made in a completely different way from its many counterparts. Double distilled from 100% Colombard on Alembic pot stills, this would normally be absolute sacrilege, but in the case of creating a refined, expressive and usable Blanche it's the perfect choice. Colombard's light fragrant distillate and the extreme balance achieved through the copper pot distillation sets this special brandy apart from its competitors. We've never cared for Blanche A...
                                                        Read More » 
 Read More » ",$36.99 
